keyword,datatype,description,units,source
RV265,REAL,RV for SCI2 order 65,km/s,L2 RV Extension
RV266,REAL,RV for SCI2 order 66,km/s,L2 RV Extension
RV300,REAL,RV for SCI3 order 00,km/s,L2 RV Extension
RV301,REAL,RV for SCI3 order 01,km/s,L2 RV Extension
RV302,REAL,RV for SCI3 order 02,km/s,L2 RV Extension
RV303,REAL,RV for SCI3 order 03,km/s,L2 RV Extension
RV304,REAL,RV for SCI3 order 04,km/s,L2 RV Extension
RV305,REAL,RV for SCI3 order 05,km/s,L2 RV Extension
RV306,REAL,RV for SCI3 order 06,km/s,L2 RV Extension
RV307,REAL,RV for SCI3 order 07,km/s,L2 RV Extension
RV308,REAL,RV for SCI3 order 08,km/s,L2 RV Extension
RV309,REAL,RV for SCI3 order 09,km/s,L2 RV Extension
RV310,REAL,RV for SCI3 order 10,km/s,L2 RV Extension
RV311,REAL,RV for SCI3 order 11,km/s,L2 RV Extension
RV312,REAL,RV for SCI3 order 12,km/s,L2 RV Extension
RV313,REAL,RV for SCI3 order 13,km/s,L2 RV Extension
RV314,REAL,RV for SCI3 order 14,km/s,L2 RV Extension
RV315,REAL,RV for SCI3 order 15,km/s,L2 RV Extension
RV316,REAL,RV for SCI3 order 16,km/s,L2 RV Extension
RV317,REAL,RV for SCI3 order 17,km/s,L2 RV Extension
RV318,REAL,RV for SCI3 order 18,km/s,L2 RV Extension
RV319,REAL,RV for SCI3 order 19,km/s,L2 RV Extension
RV320,REAL,RV for SCI3 order 20,km/s,L2 RV Extension
RV321,REAL,RV for SCI3 order 21,km/s,L2 RV Extension
RV322,REAL,RV for SCI3 order 22,km/s,L2 RV Extension
RV323,REAL,RV for SCI3 order 23,km/s,L2 RV Extension
RV324,REAL,RV for SCI3 order 24,km/s,L2 RV Extension
RV325,REAL,RV for SCI3 order 25,km/s,L2 RV Extension
RV326,REAL,RV for SCI3 order 26,km/s,L2 RV Extension
RV327,REAL,RV for SCI3 order 27,km/s,L2 RV Extension
RV328,REAL,RV for SCI3 order 28,km/s,L2 RV Extension
RV329,REAL,RV for SCI3 order 29,km/s,L2 RV Extension
RV330,REAL,RV for SCI3 order 30,km/s,L2 RV Extension
RV331,REAL,RV for SCI3 order 31,km/s,L2 RV Extension
RV332,REAL,RV for SCI3 order 32,km/s,L2 RV Extension
RV333,REAL,RV for SCI3 order 33,km/s,L2 RV Extension
RV334,REAL,RV for SCI3 order 34,km/s,L2 RV Extension
RV335,REAL,RV for SCI3 order 35,km/s,L2 RV Extension
RV336,REAL,RV for SCI3 order 36,km/s,L2 RV Extension
RV337,REAL,RV for SCI3 order 37,km/s,L2 RV Extension
RV338,REAL,RV for SCI3 order 38,km/s,L2 RV Extension
RV339,REAL,RV for SCI3 order 39,km/s,L2 RV Extension
RV340,REAL,RV for SCI3 order 40,km/s,L2 RV Extension
RV341,REAL,RV for SCI3 order 41,km/s,L2 RV Extension
RV342,REAL,RV for SCI3 order 42,km/s,L2 RV Extension
RV343,REAL,RV for SCI3 order 43,km/s,L2 RV Extension
RV344,REAL,RV for SCI3 order 44,km/s,L2 RV Extension
RV345,REAL,RV for SCI3 order 45,km/s,L2 RV Extension
RV346,REAL,RV for SCI3 order 46,km/s,L2 RV Extension
RV347,REAL,RV for SCI3 order 47,km/s,L2 RV Extension
RV348,REAL,RV for SCI3 order 48,km/s,L2 RV Extension
RV349,REAL,RV for SCI3 order 49,km/s,L2 RV Extension
RV350,REAL,RV for SCI3 order 50,km/s,L2 RV Extension
RV351,REAL,RV for SCI3 order 51,km/s,L2 RV Extension
RV352,REAL,RV for SCI3 order 52,km/s,L2 RV Extension
RV353,REAL,RV for SCI3 order 53,km/s,L2 RV Extension
RV354,REAL,RV for SCI3 order 54,km/s,L2 RV Extension
RV355,REAL,RV for SCI3 order 55,km/s,L2 RV Extension
RV356,REAL,RV for SCI3 order 56,km/s,L2 RV Extension
RV357,REAL,RV for SCI3 order 57,km/s,L2 RV Extension
RV358,REAL,RV for SCI3 order 58,km/s,L2 RV Extension
RV359,REAL,RV for SCI3 order 59,km/s,L2 RV Extension
RV360,REAL,RV for SCI3 order 60,km/s,L2 RV Extension
RV361,REAL,RV for SCI3 order 61,km/s,L2 RV Extension
RV362,REAL,RV for SCI3 order 62,km/s,L2 RV Extension
RV363,REAL,RV for SCI3 order 63,km/s,L2 RV Extension
RV364,REAL,RV for SCI3 order 64,km/s,L2 RV Extension
RV365,REAL,RV for SCI3 order 65,km/s,L2 RV Extension
RV366,REAL,RV for SCI3 order 66,km/s,L2 RV Extension
RVS00,REAL,RV for SCI order 00,km/s,L2 RV Extension
RVS01,REAL,RV for SCI order 01,km/s,L2 RV Extension
RVS02,REAL,RV for SCI order 02,km/s,L2 RV Extension
RVS03,REAL,RV for SCI order 03,km/s,L2 RV Extension
RVS04,REAL,RV for SCI order 04,km/s,L2 RV Extension
RVS05,REAL,RV for SCI order 05,km/s,L2 RV Extension
RVS06,REAL,RV for SCI order 06,km/s,L2 RV Extension
RVS07,REAL,RV for SCI order 07,km/s,L2 RV Extension
RVS08,REAL,RV for SCI order 08,km/s,L2 RV Extension
RVS09,REAL,RV for SCI order 09,km/s,L2 RV Extension
RVS10,REAL,RV for SCI order 10,km/s,L2 RV Extension
RVS11,REAL,RV for SCI order 11,km/s,L2 RV Extension
RVS12,REAL,RV for SCI order 12,km/s,L2 RV Extension
RVS13,REAL,RV for SCI order 13,km/s,L2 RV Extension
RVS14,REAL,RV for SCI order 14,km/s,L2 RV Extension
RVS15,REAL,RV for SCI order 15,km/s,L2 RV Extension
RVS16,REAL,RV for SCI order 16,km/s,L2 RV Extension
RVS17,REAL,RV for SCI order 17,km/s,L2 RV Extension
RVS18,REAL,RV for SCI order 18,km/s,L2 RV Extension
RVS19,REAL,RV for SCI order 19,km/s,L2 RV Extension
RVS20,REAL,RV for SCI order 20,km/s,L2 RV Extension
RVS21,REAL,RV for SCI order 21,km/s,L2 RV Extension
RVS22,REAL,RV for SCI order 22,km/s,L2 RV Extension
RVS23,REAL,RV for SCI order 23,km/s,L2 RV Extension
RVS24,REAL,RV for SCI order 24,km/s,L2 RV Extension
RVS25,REAL,RV for SCI order 25,km/s,L2 RV Extension
RVS26,REAL,RV for SCI order 26,km/s,L2 RV Extension
RVS27,REAL,RV for SCI order 27,km/s,L2 RV Extension
RVS28,REAL,RV for SCI order 28,km/s,L2 RV Extension
RVS29,REAL,RV for SCI order 29,km/s,L2 RV Extension
RVS30,REAL,RV for SCI order 30,km/s,L2 RV Extension
RVS31,REAL,RV for SCI order 31,km/s,L2 RV Extension
RVS32,REAL,RV for SCI order 32,km/s,L2 RV Extension
RVS33,REAL,RV for SCI order 33,km/s,L2 RV Extension
RVS34,REAL,RV for SCI order 34,km/s,L2 RV Extension
RVS35,REAL,RV for SCI order 35,km/s,L2 RV Extension
RVS36,REAL,RV for SCI order 36,km/s,L2 RV Extension
RVS37,REAL,RV for SCI order 37,km/s,L2 RV Extension
RVS38,REAL,RV for SCI order 38,km/s,L2 RV Extension
RVS39,REAL,RV for SCI order 39,km/s,L2 RV Extension
RVS40,REAL,RV for SCI order 40,km/s,L2 RV Extension
RVS41,REAL,RV for SCI order 41,km/s,L2 RV Extension
RVS42,REAL,RV for SCI order 42,km/s,L2 RV Extension
RVS43,REAL,RV for SCI order 43,km/s,L2 RV Extension
RVS44,REAL,RV for SCI order 44,km/s,L2 RV Extension
RVS45,REAL,RV for SCI order 45,km/s,L2 RV Extension
RVS46,REAL,RV for SCI order 46,km/s,L2 RV Extension
RVS47,REAL,RV for SCI order 47,km/s,L2 RV Extension
RVS48,REAL,RV for SCI order 48,km/s,L2 RV Extension
RVS49,REAL,RV for SCI order 49,km/s,L2 RV Extension
RVS50,REAL,RV for SCI order 50,km/s,L2 RV Extension
RVS51,REAL,RV for SCI order 51,km/s,L2 RV Extension
RVS52,REAL,RV for SCI order 52,km/s,L2 RV Extension
RVS53,REAL,RV for SCI order 53,km/s,L2 RV Extension
RVS54,REAL,RV for SCI order 54,km/s,L2 RV Extension
RVS55,REAL,RV for SCI order 55,km/s,L2 RV Extension
RVS56,REAL,RV for SCI order 56,km/s,L2 RV Extension
RVS57,REAL,RV for SCI order 57,km/s,L2 RV Extension
RVS58,REAL,RV for SCI order 58,km/s,L2 RV Extension
RVS59,REAL,RV for SCI order 59,km/s,L2 RV Extension
RVS60,REAL,RV for SCI order 60,km/s,L2 RV Extension
RVS61,REAL,RV for SCI order 61,km/s,L2 RV Extension
RVS62,REAL,RV for SCI order 62,km/s,L2 RV Extension
RVS63,REAL,RV for SCI order 63,km/s,L2 RV Extension
RVS64,REAL,RV for SCI order 64,km/s,L2 RV Extension
RVS65,REAL,RV for SCI order 65,km/s,L2 RV Extension
RVS66,REAL,RV for SCI order 66,km/s,L2 RV Extension
ERVS00,REAL,Error in RV for SCI order 00,km/s,L2 RV Extension
ERVS01,REAL,Error in RV for SCI order 01,km/s,L2 RV Extension
ERVS02,REAL,Error in RV for SCI order 02,km/s,L2 RV Extension
ERVS03,REAL,Error in RV for SCI order 03,km/s,L2 RV Extension
ERVS04,REAL,Error in RV for SCI order 04,km/s,L2 RV Extension
ERVS05,REAL,Error in RV for SCI order 05,km/s,L2 RV Extension
ERVS06,REAL,Error in RV for SCI order 06,km/s,L2 RV Extension
ERVS07,REAL,Error in RV for SCI order 07,km/s,L2 RV Extension
ERVS08,REAL,Error in RV for SCI order 08,km/s,L2 RV Extension
ERVS09,REAL,Error in RV for SCI order 09,km/s,L2 RV Extension
ERVS10,REAL,Error in RV for SCI order 10,km/s,L2 RV Extension
ERVS11,REAL,Error in RV for SCI order 11,km/s,L2 RV Extension
ERVS12,REAL,Error in RV for SCI order 12,km/s,L2 RV Extension
ERVS13,REAL,Error in RV for SCI order 13,km/s,L2 RV Extension
ERVS14,REAL,Error in RV for SCI order 14,km/s,L2 RV Extension
ERVS15,REAL,Error in RV for SCI order 15,km/s,L2 RV Extension
ERVS16,REAL,Error in RV for SCI order 16,km/s,L2 RV Extension
ERVS17,REAL,Error in RV for SCI order 17,km/s,L2 RV Extension
ERVS18,REAL,Error in RV for SCI order 18,km/s,L2 RV Extension
ERVS19,REAL,Error in RV for SCI order 19,km/s,L2 RV Extension
ERVS20,REAL,Error in RV for SCI order 20,km/s,L2 RV Extension
ERVS21,REAL,Error in RV for SCI order 21,km/s,L2 RV Extension
ERVS22,REAL,Error in RV for SCI order 22,km/s,L2 RV Extension
ERVS23,REAL,Error in RV for SCI order 23,km/s,L2 RV Extension
ERVS24,REAL,Error in RV for SCI order 24,km/s,L2 RV Extension
ERVS25,REAL,Error in RV for SCI order 25,km/s,L2 RV Extension
ERVS26,REAL,Error in RV for SCI order 26,km/s,L2 RV Extension
ERVS27,REAL,Error in RV for SCI order 27,km/s,L2 RV Extension
ERVS28,REAL,Error in RV for SCI order 28,km/s,L2 RV Extension
ERVS29,REAL,Error in RV for SCI order 29,km/s,L2 RV Extension
ERVS30,REAL,Error in RV for SCI order 30,km/s,L2 RV Extension
ERVS31,REAL,Error in RV for SCI order 31,km/s,L2 RV Extension
ERVS32,REAL,Error in RV for SCI order 32,km/s,L2 RV Extension
ERVS33,REAL,Error in RV for SCI order 33,km/s,L2 RV Extension
ERVS34,REAL,Error in RV for SCI order 34,km/s,L2 RV Extension
ERVS35,REAL,Error in RV for SCI order 35,km/s,L2 RV Extension
ERVS36,REAL,Error in RV for SCI order 36,km/s,L2 RV Extension
ERVS37,REAL,Error in RV for SCI order 37,km/s,L2 RV Extension
ERVS38,REAL,Error in RV for SCI order 38,km/s,L2 RV Extension
ERVS39,REAL,Error in RV for SCI order 39,km/s,L2 RV Extension
ERVS40,REAL,Error in RV for SCI order 40,km/s,L2 RV Extension
ERVS41,REAL,Error in RV for SCI order 41,km/s,L2 RV Extension
ERVS42,REAL,Error in RV for SCI order 42,km/s,L2 RV Extension
ERVS43,REAL,Error in RV for SCI order 43,km/s,L2 RV Extension
ERVS44,REAL,Error in RV for SCI order 44,km/s,L2 RV Extension
ERVS45,REAL,Error in RV for SCI order 45,km/s,L2 RV Extension
ERVS46,REAL,Error in RV for SCI order 46,km/s,L2 RV Extension
ERVS47,REAL,Error in RV for SCI order 47,km/s,L2 RV Extension
ERVS48,REAL,Error in RV for SCI order 48,km/s,L2 RV Extension
ERVS49,REAL,Error in RV for SCI order 49,km/s,L2 RV Extension
ERVS50,REAL,Error in RV for SCI order 50,km/s,L2 RV Extension
ERVS51,REAL,Error in RV for SCI order 51,km/s,L2 RV Extension
ERVS52,REAL,Error in RV for SCI order 52,km/s,L2 RV Extension
ERVS53,REAL,Error in RV for SCI order 53,km/s,L2 RV Extension
ERVS54,REAL,Error in RV for SCI order 54,km/s,L2 RV Extension
ERVS55,REAL,Error in RV for SCI order 55,km/s,L2 RV Extension
ERVS56,REAL,Error in RV for SCI order 56,km/s,L2 RV Extension
ERVS57,REAL,Error in RV for SCI order 57,km/s,L2 RV Extension
ERVS58,REAL,Error in RV for SCI order 58,km/s,L2 RV Extension
ERVS59,REAL,Error in RV for SCI order 59,km/s,L2 RV Extension
ERVS60,REAL,Error in RV for SCI order 60,km/s,L2 RV Extension
ERVS61,REAL,Error in RV for SCI order 61,km/s,L2 RV Extension
ERVS62,REAL,Error in RV for SCI order 62,km/s,L2 RV Extension
ERVS63,REAL,Error in RV for SCI order 63,km/s,L2 RV Extension
ERVS64,REAL,Error in RV for SCI order 64,km/s,L2 RV Extension
ERVS65,REAL,Error in RV for SCI order 65,km/s,L2 RV Extension
ERVS66,REAL,Error in RV for SCI order 66,km/s,L2 RV Extension
RVC00,REAL,RV for CAL order 00,km/s,L2 RV Extension
RVC01,REAL,RV for CAL order 01,km/s,L2 RV Extension
RVC02,REAL,RV for CAL order 02,km/s,L2 RV Extension
RVC03,REAL,RV for CAL order 03,km/s,L2 RV Extension
RVC04,REAL,RV for CAL order 04,km/s,L2 RV Extension
RVC05,REAL,RV for CAL order 05,km/s,L2 RV Extension
RVC06,REAL,RV for CAL order 06,km/s,L2 RV Extension
RVC07,REAL,RV for CAL order 07,km/s,L2 RV Extension
RVC08,REAL,RV for CAL order 08,km/s,L2 RV Extension
RVC09,REAL,RV for CAL order 09,km/s,L2 RV Extension
RVC10,REAL,RV for CAL order 10,km/s,L2 RV Extension
RVC11,REAL,RV for CAL order 11,km/s,L2 RV Extension
RVC12,REAL,RV for CAL order 12,km/s,L2 RV Extension
RVC13,REAL,RV for CAL order 13,km/s,L2 RV Extension
RVC14,REAL,RV for CAL order 14,km/s,L2 RV Extension
RVC15,REAL,RV for CAL order 15,km/s,L2 RV Extension
RVC16,REAL,RV for CAL order 16,km/s,L2 RV Extension
RVC17,REAL,RV for CAL order 17,km/s,L2 RV Extension
RVC18,REAL,RV for CAL order 18,km/s,L2 RV Extension
RVC19,REAL,RV for CAL order 19,km/s,L2 RV Extension
RVC20,REAL,RV for CAL order 20,km/s,L2 RV Extension
RVC21,REAL,RV for CAL order 21,km/s,L2 RV Extension
RVC22,REAL,RV for CAL order 22,km/s,L2 RV Extension
RVC23,REAL,RV for CAL order 23,km/s,L2 RV Extension
RVC24,REAL,RV for CAL order 24,km/s,L2 RV Extension
RVC25,REAL,RV for CAL order 25,km/s,L2 RV Extension
RVC26,REAL,RV for CAL order 26,km/s,L2 RV Extension
RVC27,REAL,RV for CAL order 27,km/s,L2 RV Extension
RVC28,REAL,RV for CAL order 28,km/s,L2 RV Extension
RVC29,REAL,RV for CAL order 29,km/s,L2 RV Extension
RVC30,REAL,RV for CAL order 30,km/s,L2 RV Extension
RVC31,REAL,RV for CAL order 31,km/s,L2 RV Extension
RVC32,REAL,RV for CAL order 32,km/s,L2 RV Extension
RVC33,REAL,RV for CAL order 33,km/s,L2 RV Extension
RVC34,REAL,RV for CAL order 34,km/s,L2 RV Extension
RVC35,REAL,RV for CAL order 35,km/s,L2 RV Extension
RVC36,REAL,RV for CAL order 36,km/s,L2 RV Extension
RVC37,REAL,RV for CAL order 37,km/s,L2 RV Extension
RVC38,REAL,RV for CAL order 38,km/s,L2 RV Extension
RVC39,REAL,RV for CAL order 39,km/s,L2 RV Extension
RVC40,REAL,RV for CAL order 40,km/s,L2 RV Extension
RVC41,REAL,RV for CAL order 41,km/s,L2 RV Extension
RVC42,REAL,RV for CAL order 42,km/s,L2 RV Extension
RVC43,REAL,RV for CAL order 43,km/s,L2 RV Extension
RVC44,REAL,RV for CAL order 44,km/s,L2 RV Extension
RVC45,REAL,RV for CAL order 45,km/s,L2 RV Extension
RVC46,REAL,RV for CAL order 46,km/s,L2 RV Extension
RVC47,REAL,RV for CAL order 47,km/s,L2 RV Extension
RVC48,REAL,RV for CAL order 48,km/s,L2 RV Extension
RVC49,REAL,RV for CAL order 49,km/s,L2 RV Extension
RVC50,REAL,RV for CAL order 50,km/s,L2 RV Extension
RVC51,REAL,RV for CAL order 51,km/s,L2 RV Extension
RVC52,REAL,RV for CAL order 52,km/s,L2 RV Extension
RVC53,REAL,RV for CAL order 53,km/s,L2 RV Extension
RVC54,REAL,RV for CAL order 54,km/s,L2 RV Extension
RVC55,REAL,RV for CAL order 55,km/s,L2 RV Extension
RVC56,REAL,RV for CAL order 56,km/s,L2 RV Extension
RVC57,REAL,RV for CAL order 57,km/s,L2 RV Extension
RVC58,REAL,RV for CAL order 58,km/s,L2 RV Extension
RVC59,REAL,RV for CAL order 59,km/s,L2 RV Extension
RVC60,REAL,RV for CAL order 60,km/s,L2 RV Extension
RVC61,REAL,RV for CAL order 61,km/s,L2 RV Extension
RVC62,REAL,RV for CAL order 62,km/s,L2 RV Extension
RVC63,REAL,RV for CAL order 63,km/s,L2 RV Extension
RVC64,REAL,RV for CAL order 64,km/s,L2 RV Extension
RVC65,REAL,RV for CAL order 65,km/s,L2 RV Extension
RVC66,REAL,RV for CAL order 66,km/s,L2 RV Extension
ERVC00,REAL,Error in RV for CAL order 00,km/s,L2 RV Extension
ERVC01,REAL,Error in RV for CAL order 01,km/s,L2 RV Extension
ERVC02,REAL,Error in RV for CAL order 02,km/s,L2 RV Extension
ERVC03,REAL,Error in RV for CAL order 03,km/s,L2 RV Extension
ERVC04,REAL,Error in RV for CAL order 04,km/s,L2 RV Extension
ERVC05,REAL,Error in RV for CAL order 05,km/s,L2 RV Extension
ERVC06,REAL,Error in RV for CAL order 06,km/s,L2 RV Extension
ERVC07,REAL,Error in RV for CAL order 07,km/s,L2 RV Extension
ERVC08,REAL,Error in RV for CAL order 08,km/s,L2 RV Extension
ERVC09,REAL,Error in RV for CAL order 09,km/s,L2 RV Extension
ERVC10,REAL,Error in RV for CAL order 10,km/s,L2 RV Extension
ERVC11,REAL,Error in RV for CAL order 11,km/s,L2 RV Extension
ERVC12,REAL,Error in RV for CAL order 12,km/s,L2 RV Extension
ERVC13,REAL,Error in RV for CAL order 13,km/s,L2 RV Extension
ERVC14,REAL,Error in RV for CAL order 14,km/s,L2 RV Extension
ERVC15,REAL,Error in RV for CAL order 15,km/s,L2 RV Extension
ERVC16,REAL,Error in RV for CAL order 16,km/s,L2 RV Extension
ERVC17,REAL,Error in RV for CAL order 17,km/s,L2 RV Extension
ERVC18,REAL,Error in RV for CAL order 18,km/s,L2 RV Extension
ERVC19,REAL,Error in RV for CAL order 19,km/s,L2 RV Extension
ERVC20,REAL,Error in RV for CAL order 20,km/s,L2 RV Extension
ERVC21,REAL,Error in RV for CAL order 21,km/s,L2 RV Extension
ERVC22,REAL,Error in RV for CAL order 22,km/s,L2 RV Extension
ERVC23,REAL,Error in RV for CAL order 23,km/s,L2 RV Extension
ERVC24,REAL,Error in RV for CAL order 24,km/s,L2 RV Extension
ERVC25,REAL,Error in RV for CAL order 25,km/s,L2 RV Extension
ERVC26,REAL,Error in RV for CAL order 26,km/s,L2 RV Extension
ERVC27,REAL,Error in RV for CAL order 27,km/s,L2 RV Extension
ERVC28,REAL,Error in RV for CAL order 28,km/s,L2 RV Extension
ERVC29,REAL,Error in RV for CAL order 29,km/s,L2 RV Extension
ERVC30,REAL,Error in RV for CAL order 30,km/s,L2 RV Extension
ERVC31,REAL,Error in RV for CAL order 31,km/s,L2 RV Extension
ERVC32,REAL,Error in RV for CAL order 32,km/s,L2 RV Extension
ERVC33,REAL,Error in RV for CAL order 33,km/s,L2 RV Extension
ERVC34,REAL,Error in RV for CAL order 34,km/s,L2 RV Extension
ERVC35,REAL,Error in RV for CAL order 35,km/s,L2 RV Extension
ERVC36,REAL,Error in RV for CAL order 36,km/s,L2 RV Extension
ERVC37,REAL,Error in RV for CAL order 37,km/s,L2 RV Extension
ERVC38,REAL,Error in RV for CAL order 38,km/s,L2 RV Extension
ERVC39,REAL,Error in RV for CAL order 39,km/s,L2 RV Extension
ERVC40,REAL,Error in RV for CAL order 40,km/s,L2 RV Extension
ERVC41,REAL,Error in RV for CAL order 41,km/s,L2 RV Extension
ERVC42,REAL,Error in RV for CAL order 42,km/s,L2 RV Extension
ERVC43,REAL,Error in RV for CAL order 43,km/s,L2 RV Extension
ERVC44,REAL,Error in RV for CAL order 44,km/s,L2 RV Extension
ERVC45,REAL,Error in RV for CAL order 45,km/s,L2 RV Extension
ERVC46,REAL,Error in RV for CAL order 46,km/s,L2 RV Extension
ERVC47,REAL,Error in RV for CAL order 47,km/s,L2 RV Extension
ERVC48,REAL,Error in RV for CAL order 48,km/s,L2 RV Extension
ERVC49,REAL,Error in RV for CAL order 49,km/s,L2 RV Extension
ERVC50,REAL,Error in RV for CAL order 50,km/s,L2 RV Extension
ERVC51,REAL,Error in RV for CAL order 51,km/s,L2 RV Extension
ERVC52,REAL,Error in RV for CAL order 52,km/s,L2 RV Extension
ERVC53,REAL,Error in RV for CAL order 53,km/s,L2 RV Extension
ERVC54,REAL,Error in RV for CAL order 54,km/s,L2 RV Extension
ERVC55,REAL,Error in RV for CAL order 55,km/s,L2 RV Extension
ERVC56,REAL,Error in RV for CAL order 56,km/s,L2 RV Extension
ERVC57,REAL,Error in RV for CAL order 57,km/s,L2 RV Extension
ERVC58,REAL,Error in RV for CAL order 58,km/s,L2 RV Extension
ERVC59,REAL,Error in RV for CAL order 59,km/s,L2 RV Extension
ERVC60,REAL,Error in RV for CAL order 60,km/s,L2 RV Extension
ERVC61,REAL,Error in RV for CAL order 61,km/s,L2 RV Extension
ERVC62,REAL,Error in RV for CAL order 62,km/s,L2 RV Extension
ERVC63,REAL,Error in RV for CAL order 63,km/s,L2 RV Extension
ERVC64,REAL,Error in RV for CAL order 64,km/s,L2 RV Extension
ERVC65,REAL,Error in RV for CAL order 65,km/s,L2 RV Extension
ERVC66,REAL,Error in RV for CAL order 66,km/s,L2 RV Extension
